"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Calhoun County, AL"	"01015"	"2016"	"2016"	921	19347	4760.4
	"Calhoun County, AL"	"01015"	"2017"	"2017"	1056	19862	5316.7
	"Calhoun County, AL"	"01015"	"2018"	"2018"	1110	20247	5482.3
	"Calhoun County, AL"	"01015"	"2019"	"2019"	1004	20547	4886.4
	"Calhoun County, AL"	"01015"	"2020 "	"2020"	1254	21030	5962.9
	"Chambers County, AL"	"01017"	"2014"	"2014"	306	6251	4895.2
	"Chambers County, AL"	"01017"	"2015"	"2015"	302	6364	4745.4
	"Chambers County, AL"	"01017"	"2016"	"2016"	320	6455	4957.4
	"Chambers County, AL"	"01017"	"2017"	"2017"	326	6432	5068.4
	"Chambers County, AL"	"01017"	"2018"	"2018"	303	6562	4617.5
	"Chambers County, AL"	"01017"	"2019"	"2019"	313	6715	4661.2
	"Chambers County, AL"	"01017"	"2020 "	"2020"	456	6768	6737.6
	"Cherokee County, AL"	"01019"	"2014"	"2014"	228	5446	4186.6
	"Cherokee County, AL"	"01019"	"2015"	"2015"	238	5578	4266.8
	"Cherokee County, AL"	"01019"	"2016"	"2016"	250	5664	4413.8
	"Cherokee County, AL"	"01019"	"2017"	"2017"	237	5848	4052.7
	"Cherokee County, AL"	"01019"	"2018"	"2018"	248	5980	4147.2
	"Cherokee County, AL"	"01019"	"2019"	"2019"	271	6164	4396.5
	"Cherokee County, AL"	"01019"	"2020 "	"2020"	349	6382	5468.5
	"Chilton County, AL"	"01021"	"2014"	"2014"	304	6677	4552.9
	"Chilton County, AL"	"01021"	"2015"	"2015"	352	6831	5153.0
	"Chilton County, AL"	"01021"	"2016"	"2016"	329	7055	4663.4
	"Chilton County, AL"	"01021"	"2017"	"2017"	361	7209	5007.6
	"Chilton County, AL"	"01021"	"2018"	"2018"	355	7411	4790.2
	"Chilton County, AL"	"01021"	"2019"	"2019"	353	7600	4644.7
	"Chilton County, AL"	"01021"	"2020 "	"2020"	448	7771	5765.0
	"Choctaw County, AL"	"01023"	"2014"	"2014"	121	2767	4373.0
	"Choctaw County, AL"	"01023"	"2015"	"2015"	134	2803	4780.6
	"Choctaw County, AL"	"01023"	"2016"	"2016"	123	2835	4338.6
	"Choctaw County, AL"	"01023"	"2017"	"2017"	125	2944	4245.9
	"Choctaw County, AL"	"01023"	"2018"	"2018"	153	2953	5181.2
	"Choctaw County, AL"	"01023"	"2019"	"2019"	135	2969	4547.0
	"Choctaw County, AL"	"01023"	"2020 "	"2020"	129	2982	4326.0
	"Clarke County, AL"	"01025"	"2014"	"2014"	222	4485	4949.8
	"Clarke County, AL"	"01025"	"2015"	"2015"	206	4562	4515.6
	"Clarke County, AL"	"01025"	"2016"	"2016"	224	4641	4826.5
	"Clarke County, AL"	"01025"	"2017"	"2017"	196	4643	4221.4
	"Clarke County, AL"	"01025"	"2018"	"2018"	228	4753	4797.0
	"Clarke County, AL"	"01025"	"2019"	"2019"	255	4843	5265.3
	"Clarke County, AL"	"01025"	"2020 "	"2020"	298	4861	6130.4
	"Clay County, AL"	"01027"	"2014"	"2014"	131	2631	4979.1
	"Clay County, AL"	"01027"	"2015"	"2015"	139	2700	5148.1
	"Clay County, AL"	"01027"	"2016"	"2016"	128	2788	4591.1
	"Clay County, AL"	"01027"	"2017"	"2017"	119	2706	4397.6
	"Clay County, AL"	"01027"	"2018"	"2018"	131	2751	4761.9
	"Clay County, AL"	"01027"	"2019"	"2019"	136	2785	4883.3
	"Clay County, AL"	"01027"	"2020 "	"2020"	184	2805	6559.7
	"Cleburne County, AL"	"01029"	"2014"	"2014"	144	2773	5192.9
	"Cleburne County, AL"	"01029"	"2015"	"2015"	139	2821	4927.3
	"Cleburne County, AL"	"01029"	"2016"	"2016"	125	2808	4451.6
	"Cleburne County, AL"	"01029"	"2017"	"2017"	135	2847	4741.8
	"Cleburne County, AL"	"01029"	"2018"	"2018"	129	2915	4425.4
	"Cleburne County, AL"	"01029"	"2019"	"2019"	151	3008	5019.9
	"Cleburne County, AL"	"01029"	"2020 "	"2020"	180	3034	5932.8
	"Coffee County, AL"	"01031"	"2014"	"2014"	385	8118	4742.5
	"Coffee County, AL"	"01031"	"2015"	"2015"	377	8279	4553.7
	"Coffee County, AL"	"01031"	"2016"	"2016"	352	8409	4186.0
	"Coffee County, AL"	"01031"	"2017"	"2017"	381	8593	4433.8
	"Coffee County, AL"	"01031"	"2018"	"2018"	433	8801	4919.9
	"Coffee County, AL"	"01031"	"2019"	"2019"	414	9031	4584.2
	"Coffee County, AL"	"01031"	"2020 "	"2020"	520	9371	5549.0
	"Colbert County, AL"	"01033"	"2014"	"2014"	536	10099	5307.5
	"Colbert County, AL"	"01033"	"2015"	"2015"	542	10232	5297.1
	"Colbert County, AL"	"01033"	"2016"	"2016"	522	10418	5010.6
	"Colbert County, AL"	"01033"	"2017"	"2017"	500	10682	4680.8
	"Colbert County, AL"	"01033"	"2018"	"2018"	565	10914	5176.8
	"Colbert County, AL"	"01033"	"2019"	"2019"	570	11065	5151.4
	"Colbert County, AL"	"01033"	"2020 "	"2020"	617	11387	5418.5
	"Conecuh County, AL"	"01035"	"2014"	"2014"	103	2587	3981.4
	"Conecuh County, AL"	"01035"	"2015"	"2015"	138	2647	5213.4
	"Conecuh County, AL"	"01035"	"2016"	"2016"	115	2661	4321.7
	"Conecuh County, AL"	"01035"	"2017"	"2017"	117	2733	4281.0
	"Conecuh County, AL"	"01035"	"2018"	"2018"	122	2762	4417.1
	"Conecuh County, AL"	"01035"	"2019"	"2019"	143	2832	5049.4
	"Conecuh County, AL"	"01035"	"2020 "	"2020"	152	2843	5346.5
	"Coosa County, AL"	"01037"	"2014"	"2014"	88	2017	4362.9
	"Coosa County, AL"	"01037"	"2015"	"2015"	103	2059	5002.4
	"Coosa County, AL"	"01037"	"2016"	"2016"	118	2109	5595.1
	"Coosa County, AL"	"01037"	"2017"	"2017"	95	2448	3880.7
	"Coosa County, AL"	"01037"	"2018"	"2018"	101	2481	4070.9
	"Coosa County, AL"	"01037"	"2019"	"2019"	94	2568	3660.4
	"Coosa County, AL"	"01037"	"2020 "	"2020"	119	2629	4526.4
	"Covington County, AL"	"01039"	"2014"	"2014"	397	7498	5294.7
	"Covington County, AL"	"01039"	"2015"	"2015"	419	7570	5535.0
	"Covington County, AL"	"01039"	"2016"	"2016"	354	7627	4641.4
	"Covington County, AL"	"01039"	"2017"	"2017"	396	7665	5166.3
	"Covington County, AL"	"01039"	"2018"	"2018"	436	7790	5596.9
	"Covington County, AL"	"01039"	"2019"	"2019"	398	7920	5025.3
	"Covington County, AL"	"01039"	"2020 "	"2020"	485	8095	5991.4
	"Crenshaw County, AL"	"01041"	"2014"	"2014"	140	2509	5579.9
	"Crenshaw County, AL"	"01041"	"2015"	"2015"	146	2528	5775.3
	"Crenshaw County, AL"	"01041"	"2016"	"2016"	147	2587	5682.3
	"Crenshaw County, AL"	"01041"	"2017"	"2017"	124	2597	4774.7
	"Crenshaw County, AL"	"01041"	"2018"	"2018"	136	2629	5173.1
	"Crenshaw County, AL"	"01041"	"2019"	"2019"	140	2671	5241.5
	"Crenshaw County, AL"	"01041"	"2020 "	"2020"	177	2729	6485.9
	"Cullman County, AL"	"01043"	"2014"	"2014"	648	14324	4523.9
	"Cullman County, AL"	"01043"	"2015"	"2015"	725	14701	4931.6
	"Cullman County, AL"	"01043"	"2016"	"2016"	718	15044	4772.7
	"Cullman County, AL"	"01043"	"2017"	"2017"	778	15135	5140.4
	"Cullman County, AL"	"01043"	"2018"	"2018"	799	15446	5172.9
	"Cullman County, AL"	"01043"	"2019"	"2019"	801	15735	5090.6
	"Cullman County, AL"	"01043"	"2020 "	"2020"	929	16141	5755.5
	"Dale County, AL"	"01045"	"2014"	"2014"	340	7611	4467.2
	"Dale County, AL"	"01045"	"2015"	"2015"	366	7805	4689.3
	"Dale County, AL"	"01045"	"2016"	"2016"	380	7959	4774.5
	"Dale County, AL"	"01045"	"2017"	"2017"	371	8045	4611.6
	"Dale County, AL"	"01045"	"2018"	"2018"	365	8270	4413.5
	"Dale County, AL"	"01045"	"2019"	"2019"	390	8502	4587.2
	"Dale County, AL"	"01045"	"2020 "	"2020"	467	8733	5347.5
	"Dallas County, AL"	"01047"	"2014"	"2014"	325	6515	4988.5
	"Dallas County, AL"	"01047"	"2015"	"2015"	372	6691	5559.7
	"Dallas County, AL"	"01047"	"2016"	"2016"	378	6733	5614.1
	"Dallas County, AL"	"01047"	"2017"	"2017"	343	6799	5044.9
	"Dallas County, AL"	"01047"	"2018"	"2018"	370	6921	5346.0
	"Dallas County, AL"	"01047"	"2019"	"2019"	314	7021	4472.3
	"Dallas County, AL"	"01047"	"2020 "	"2020"	411	7053	5827.3
	"DeKalb County, AL"	"01049"	"2014"	"2014"	545	11159	4884.0
	"DeKalb County, AL"	"01049"	"2015"	"2015"	569	11383	4998.7
	"DeKalb County, AL"	"01049"	"2016"	"2016"	524	11638	4502.5
	"DeKalb County, AL"	"01049"	"2017"	"2017"	566	12051	4696.7
	"DeKalb County, AL"	"01049"	"2018"	"2018"	620	12322	5031.7
	"DeKalb County, AL"	"01049"	"2019"	"2019"	599	12601	4753.6
	"DeKalb County, AL"	"01049"	"2020 "	"2020"	731	12839	5693.6
	"Elmore County, AL"	"01051"	"2014"	"2014"	511	11358	4499.0
	"Elmore County, AL"	"01051"	"2015"	"2015"	563	11693	4814.8
	"Elmore County, AL"	"01051"	"2016"	"2016"	542	12112	4474.9
	"Elmore County, AL"	"01051"	"2017"	"2017"	613	12026	5097.3
	"Elmore County, AL"	"01051"	"2018"	"2018"	570	12400	4596.8
	"Elmore County, AL"	"01051"	"2019"	"2019"	586	12657	4629.8
	"Elmore County, AL"	"01051"	"2020 "	"2020"	729	13411	5435.8
	"Escambia County, AL"	"01053"	"2014"	"2014"	340	6287	5408.0
	"Escambia County, AL"	"01053"	"2015"	"2015"	329	6356	5176.2
	"Escambia County, AL"	"01053"	"2016"	"2016"	348	6485	5366.2
	"Escambia County, AL"	"01053"	"2017"	"2017"	330	6478	5094.2
	"Escambia County, AL"	"01053"	"2018"	"2018"	303	6596	4593.7
	"Escambia County, AL"	"01053"	"2019"	"2019"	338	6691	5051.6
	"Escambia County, AL"	"01053"	"2020 "	"2020"	423	6794	6226.1
	"Etowah County, AL"	"01055"	"2014"	"2014"	912	17919	5089.6
	"Etowah County, AL"	"01055"	"2015"	"2015"	1023	18278	5596.9
	"Etowah County, AL"	"01055"	"2016"	"2016"	948	18616	5092.4
	"Etowah County, AL"	"01055"	"2017"	"2017"	1001	19092	5243.0
	"Etowah County, AL"	"01055"	"2018"	"2018"	1065	19487	5465.2
	"Etowah County, AL"	"01055"	"2019"	"2019"	989	19796	4996.0
	"Etowah County, AL"	"01055"	"2020 "	"2020"	1196	20061	5961.8
	"Fayette County, AL"	"01057"	"2014"	"2014"	166	3300	5030.3
	"Fayette County, AL"	"01057"	"2015"	"2015"	169	3369	5016.3
	"Fayette County, AL"	"01057"	"2016"	"2016"	188	3413	5508.4
	"Fayette County, AL"	"01057"	"2017"	"2017"	182	3460	5260.1
	"Fayette County, AL"	"01057"	"2018"	"2018"	169	3472	4867.5
	"Fayette County, AL"	"01057"	"2019"	"2019"	149	3545	4203.1
	"Fayette County, AL"	"01057"	"2020 "	"2020"	195	3575	5454.5
	"Franklin County, AL"	"01059"	"2014"	"2014"	269	5040	5337.3
	"Franklin County, AL"	"01059"	"2015"	"2015"	258	5118	5041.0
	"Franklin County, AL"	"01059"	"2016"	"2016"	252	5159	4884.7
	"Franklin County, AL"	"01059"	"2017"	"2017"	264	5188	5088.7
	"Franklin County, AL"	"01059"	"2018"	"2018"	277	5296	5230.4
	"Franklin County, AL"	"01059"	"2019"	"2019"	265	5374	4931.1
	"Franklin County, AL"	"01059"	"2020 "	"2020"	328	5444	6025.0
	"Geneva County, AL"	"01061"	"2014"	"2014"	253	5129	4932.7
	"Geneva County, AL"	"01061"	"2015"	"2015"	259	5263	4921.1
	"Geneva County, AL"	"01061"	"2016"	"2016"	289	5278	5475.6
	"Geneva County, AL"	"01061"	"2017"	"2017"	256	5291	4838.4
	"Geneva County, AL"	"01061"	"2018"	"2018"	286	5341	5354.8
	"Geneva County, AL"	"01061"	"2019"	"2019"	252	5420	4649.4
	"Geneva County, AL"	"01061"	"2020 "	"2020"	342	5604	6102.8
	"Greene County, AL"	"01063"	"2014"	"2014"	64	1533	4174.8
	"Greene County, AL"	"01063"	"2015"	"2015"	80	1583	5053.7
	"Greene County, AL"	"01063"	"2016"	"2016"	71	1639	4331.9
	"Greene County, AL"	"01063"	"2017"	"2017"	86	1778	4836.9
	"Greene County, AL"	"01063"	"2018"	"2018"	78	1837	4246.1
	"Greene County, AL"	"01063"	"2019"	"2019"	58	1890	3068.8
	"Greene County, AL"	"01063"	"2020 "	"2020"	111	1950	5692.3
	"Hale County, AL"	"01065"	"2014"	"2014"	127	2627	4834.4
	"Hale County, AL"	"01065"	"2015"	"2015"	122	2679	4553.9
	"Hale County, AL"	"01065"	"2016"	"2016"	127	2769	4586.5
	"Hale County, AL"	"01065"	"2017"	"2017"	148	2783	5318.0
	"Hale County, AL"	"01065"	"2018"	"2018"	118	2829	4171.1
	"Hale County, AL"	"01065"	"2019"	"2019"	143	2885	4956.7
	"Hale County, AL"	"01065"	"2020 "	"2020"	180	2960	6081.1
	"Henry County, AL"	"01067"	"2014"	"2014"	159	3569	4455.0
	"Henry County, AL"	"01067"	"2015"	"2015"	170	3664	4639.7
	"Henry County, AL"	"01067"	"2016"	"2016"	162	3762	4306.2
	"Henry County, AL"	"01067"	"2017"	"2017"	170	3810	4461.9
	"Henry County, AL"	"01067"	"2018"	"2018"	168	3910	4296.7
	"Henry County, AL"	"01067"	"2019"	"2019"	164	4031	4068.5
	"Henry County, AL"	"01067"	"2020 "	"2020"	209	4067	5138.9
	"Houston County, AL"	"01069"	"2014"	"2014"	760	16790	4526.5
	"Houston County, AL"	"01069"	"2015"	"2015"	779	17147	4543.1
	"Houston County, AL"	"01069"	"2016"	"2016"	795	17514	4539.2
	"Houston County, AL"	"01069"	"2017"	"2017"	860	18143	4740.1
	"Houston County, AL"	"01069"	"2018"	"2018"	832	18639	4463.8
	"Houston County, AL"	"01069"	"2019"	"2019"	858	19184	4472.5
	"Houston County, AL"	"01069"	"2020 "	"2020"	1058	19910	5313.9
	"Jackson County, AL"	"01071"	"2014"	"2014"	491	9776	5022.5
	"Jackson County, AL"	"01071"	"2015"	"2015"	527	9977	5282.1
	"Jackson County, AL"	"01071"	"2016"	"2016"	520	10121	5137.8
	"Jackson County, AL"	"01071"	"2017"	"2017"	506	10147	4986.7
	"Jackson County, AL"	"01071"	"2018"	"2018"	492	10373	4743.1
	"Jackson County, AL"	"01071"	"2019"	"2019"	498	10591	4702.1
	"Jackson County, AL"	"01071"	"2020 "	"2020"	664	10897	6093.4
	"Jefferson County, AL"	"01073"	"2014"	"2014"	4644	94375	4920.8
	"Jefferson County, AL"	"01073"	"2015"	"2015"	4894	96633	5064.5
	"Jefferson County, AL"	"01073"	"2016"	"2016"	4853	99342	4885.1
	"Jefferson County, AL"	"01073"	"2017"	"2017"	4896	101476	4824.8
	"Jefferson County, AL"	"01073"	"2018"	"2018"	5156	104547	4931.8
	"Jefferson County, AL"	"01073"	"2019"	"2019"	5004	107329	4662.3
	"Jefferson County, AL"	"01073"	"2020 "	"2020"	5940	109511	5424.1
	"Lamar County, AL"	"01075"	"2014"	"2014"	145	2885	5026.0
	"Lamar County, AL"	"01075"	"2015"	"2015"	142	2920	4863.0
	"Lamar County, AL"	"01075"	"2016"	"2016"	149	2957	5038.9
	"Lamar County, AL"	"01075"	"2017"	"2017"	154	2994	5143.6
	"Lamar County, AL"	"01075"	"2018"	"2018"	111	2998	3702.5
	"Lamar County, AL"	"01075"	"2019"	"2019"	151	3060	4934.6
	"Lamar County, AL"	"01075"	"2020 "	"2020"	189	3099	6098.7
	"Lauderdale County, AL"	"01077"	"2014"	"2014"	818	16978	4818.0
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	839	17303	4848.9
	"Lauderdale County, AL"	"01077"	"2016"	"2016"	848	17624	4811.6
	"Lauderdale County, AL"	"01077"	"2017"	"2017"	800	18111	4417.2
	"Lauderdale County, AL"	"01077"	"2018"	"2018"	870	18563	4686.7
	"Lauderdale County, AL"	"01077"	"2019"	"2019"	869	19007	4572.0
	"Lauderdale County, AL"	"01077"	"2020 "	"2020"	1020	19471	5238.6
	"Lawrence County, AL"	"01079"	"2014"	"2014"	288	5626	5119.1
	"Lawrence County, AL"	"01079"	"2015"	"2015"	278	5753	4832.3
	"Lawrence County, AL"	"01079"	"2016"	"2016"	265	5869	4515.2
	"Lawrence County, AL"	"01079"	"2017"	"2017"	281	6012	4674.0
	"Lawrence County, AL"	"01079"	"2018"	"2018"	272	6151	4422.0
	"Lawrence County, AL"	"01079"	"2019"	"2019"	296	6287	4708.1
	"Lawrence County, AL"	"01079"	"2020 "	"2020"	363	6325	5739.1
	"Lee County, AL"	"01081"	"2014"	"2014"	801	15828	5060.7
	"Lee County, AL"	"01081"	"2015"	"2015"	689	16683	4130.0
	"Lee County, AL"	"01081"	"2016"	"2016"	695	17495	3972.6
	"Lee County, AL"	"01081"	"2017"	"2017"	767	18611	4121.2
	"Lee County, AL"	"01081"	"2018"	"2018"	783	19481	4019.3
	"Lee County, AL"	"01081"	"2019"	"2019"	842	20412	4125.0
	"Lee County, AL"	"01081"	"2020 "	"2020"	914	21587	4234.0
	"Limestone County, AL"	"01083"	"2014"	"2014"	536	12531	4277.4
	"Limestone County, AL"	"01083"	"2015"	"2015"	522	13010	4012.3
	"Limestone County, AL"	"01083"	"2016"	"2016"	482	13495	3571.7
	"Limestone County, AL"	"01083"	"2017"	"2017"	616	14091	4371.6
	"Limestone County, AL"	"01083"	"2018"	"2018"	604	14608	4134.7
	"Limestone County, AL"	"01083"	"2019"	"2019"	619	15081	4104.5
	"Limestone County, AL"	"01083"	"2020 "	"2020"	770	16088	4786.2
	"Lowndes County, AL"	"01085"	"2014"	"2014"	85	1843	4612.0
	"Lowndes County, AL"	"01085"	"2015"	"2015"	71	1869	3798.8
	"Lowndes County, AL"	"01085"	"2016"	"2016"	104	1953	5325.1
	"Lowndes County, AL"	"01085"	"2017"	"2017"	70	1830	3825.1
	"Lowndes County, AL"	"01085"	"2018"	"2018"	96	1880	5106.4
	"Lowndes County, AL"	"01085"	"2019"	"2019"	93	1921	4841.2
	"Lowndes County, AL"	"01085"	"2020 "	"2020"	127	1957	6489.5
	"Macon County, AL"	"01087"	"2014"	"2014"	162	3273	4949.6
	"Macon County, AL"	"01087"	"2015"	"2015"	149	3356	4439.8
	"Macon County, AL"	"01087"	"2016"	"2016"	188	3442	5461.9
	"Macon County, AL"	"01087"	"2017"	"2017"	137	3634	3770.0
	"Macon County, AL"	"01087"	"2018"	"2018"	172	3756	4579.3
	"Macon County, AL"	"01087"	"2019"	"2019"	187	3785	4940.6
	"Macon County, AL"	"01087"	"2020 "	"2020"	230	3803	6047.9
	"Madison County, AL"	"01089"	"2014"	"2014"	2066	48012	4303.1
	"Madison County, AL"	"01089"	"2015"	"2015"	2125	49684	4277.0
	"Madison County, AL"	"01089"	"2016"	"2016"	2290	51347	4459.9
	"Madison County, AL"	"01089"	"2017"	"2017"	2287	52852	4327.2
	"Madison County, AL"	"01089"	"2018"	"2018"	2364	55125	4288.4
	"Madison County, AL"	"01089"	"2019"	"2019"	2364	57136	4137.5
	"Madison County, AL"	"01089"	"2020 "	"2020"	2686	59238	4534.3
	"Marengo County, AL"	"01091"	"2014"	"2014"	189	3740	5053.5
	"Marengo County, AL"	"01091"	"2015"	"2015"	171	3824	4471.8
	"Marengo County, AL"	"01091"	"2016"	"2016"	206	3897	5286.1
	"Marengo County, AL"	"01091"	"2017"	"2017"	207	3746	5525.9
	"Marengo County, AL"	"01091"	"2018"	"2018"	206	3737	5512.4
	"Marengo County, AL"	"01091"	"2019"	"2019"	203	3749	5414.8
	"Marengo County, AL"	"01091"	"2020 "	"2020"	233	3866	6026.9
	"Marion County, AL"	"01093"	"2014"	"2014"	293	6095	4807.2
	"Marion County, AL"	"01093"	"2015"	"2015"	327	6167	5302.4
	"Marion County, AL"	"01093"	"2016"	"2016"	289	6187	4671.1
	"Marion County, AL"	"01093"	"2017"	"2017"	305	6274	4861.3
	"Marion County, AL"	"01093"	"2018"	"2018"	307	6321	4856.8
	"Marion County, AL"	"01093"	"2019"	"2019"	334	6389	5227.7
	"Marion County, AL"	"01093"	"2020 "	"2020"	376	6424	5853.1
	"Marshall County, AL"	"01095"	"2014"	"2014"	737	15409	4782.9
	"Marshall County, AL"	"01095"	"2015"	"2015"	778	15764	4935.3
	"Marshall County, AL"	"01095"	"2016"	"2016"	843	16059	5249.4
	"Marshall County, AL"	"01095"	"2017"	"2017"	795	16023	4961.6
	"Marshall County, AL"	"01095"	"2018"	"2018"	880	16375	5374.0
	"Marshall County, AL"	"01095"	"2019"	"2019"	816	16750	4871.6
	"Marshall County, AL"	"01095"	"2020 "	"2020"	994	16922	5874.0
	"Mobile County, AL"	"01097"	"2014"	"2014"	2860	60326	4740.9
	"Mobile County, AL"	"01097"	"2015"	"2015"	2849	62039	4592.3
	"Mobile County, AL"	"01097"	"2016"	"2016"	2963	63636	4656.2
	"Mobile County, AL"	"01097"	"2017"	"2017"	2887	65209	4427.3
	"Mobile County, AL"	"01097"	"2018"	"2018"	3066	67041	4573.3
	"Mobile County, AL"	"01097"	"2019"	"2019"	3149	68742	4580.9
	"Mobile County, AL"	"01097"	"2020 "	"2020"	3584	70526	5081.8
	"Monroe County, AL"	"01099"	"2014"	"2014"	183	3918	4670.8
	"Monroe County, AL"	"01099"	"2015"	"2015"	181	3939	4595.1
	"Monroe County, AL"	"01099"	"2016"	"2016"	168	3998	4202.1
	"Monroe County, AL"	"01099"	"2017"	"2017"	213	4181	5094.5
	"Monroe County, AL"	"01099"	"2018"	"2018"	207	4275	4842.1
	"Monroe County, AL"	"01099"	"2019"	"2019"	182	4385	4150.5
	"Monroe County, AL"	"01099"	"2020 "	"2020"	223	4448	5013.5
	"Montgomery County, AL"	"01101"	"2014"	"2014"	1444	30192	4782.7
	"Montgomery County, AL"	"01101"	"2015"	"2015"	1435	31018	4626.3
	"Montgomery County, AL"	"01101"	"2016"	"2016"	1440	31753	4535.0
	"Montgomery County, AL"	"01101"	"2017"	"2017"	1474	33102	4452.9
	"Montgomery County, AL"	"01101"	"2018"	"2018"	1414	34173	4137.8
	"Montgomery County, AL"	"01101"	"2019"	"2019"	1481	35281	4197.7
	"Montgomery County, AL"	"01101"	"2020 "	"2020"	1886	35947	5246.6
	"Morgan County, AL"	"01103"	"2014"	"2014"	875	19062	4590.3
	"Morgan County, AL"	"01103"	"2015"	"2015"	969	19529	4961.9
	"Morgan County, AL"	"01103"	"2016"	"2016"	937	19931	4701.2
	"Morgan County, AL"	"01103"	"2017"	"2017"	995	20325	4895.4
	"Morgan County, AL"	"01103"	"2018"	"2018"	961	20803	4619.5
	"Morgan County, AL"	"01103"	"2019"	"2019"	1059	21341	4962.3
	"Morgan County, AL"	"01103"	"2020 "	"2020"	1223	21897	5585.2
	"Perry County, AL"	"01105"	"2014"	"2014"	98	1763	5558.7
	"Perry County, AL"	"01105"	"2015"	"2015"	76	1779	4272.1
	"Perry County, AL"	"01105"	"2016"	"2016"	88	1779	4946.6
	"Perry County, AL"	"01105"	"2017"	"2017"	96	1784	5381.2
	"Perry County, AL"	"01105"	"2018"	"2018"	83	1774	4678.7
	"Perry County, AL"	"01105"	"2019"	"2019"	81	1795	4512.5
	"Perry County, AL"	"01105"	"2020 "	"2020"	109	1814	6008.8
	"Pickens County, AL"	"01107"	"2014"	"2014"	173	3627	4769.8
	"Pickens County, AL"	"01107"	"2015"	"2015"	192	3686	5208.9
